id,person_type,person_id,from_club,to_club,moved_on,fee,transfer_type,sort_order,created_at,season
96f232a0-6293-4b79-85e3-dd07757e87e1,player,fffa3680-98f7-4979-9be1-99b9135f1e00,,Al Ahli,2026-08-19,,Transfer,0,2026-08-19 02:49:52.069045+00,26/27
26d18641-ee8e-4ff8-aee1-622af08bc689,player,8a1d1a7d-c8a9-4658-a3b0-a12743c6f04b,,Al Ahli,2026-08-19,,Transfer,0,2026-08-19 02:50:07.750622+00,26/27
0a37554e-70a8-441a-af46-976f867d45a1,player,40a44917-40f9-4ad5-aa39-0f0d86e9ab6e,Saudi Arabia,Al Ahli,2026-08-19,,Transfer,0,2026-08-19 02:50:26.924006+00,26/27
844af82e-41f0-43fc-baa7-e35fbc5c95ec,player,d0a9e55b-66ec-4030-8fd6-648bac5c15a4,Saudi Arabia,Al Hilal,2026-08-19,,Transfer,0,2026-08-19 02:50:46.302843+00,26/27
1b2b420a-3c20-40ee-b1f9-0bc37b60c571,player,b022f211-917d-4165-9bb0-b1e6c6730cb3,Saudi Arabia,Al Hilal,2026-08-19,,Transfer,0,2026-08-19 02:50:52.959933+00,26/27
a68be5d2-6ba5-47ed-856b-0766296c3146,player,3c55adb7-3777-4e8f-b0e5-2d7500274d1f,Saudi Arabia,Al Hilal,2026-08-19,,Transfer,0,2026-08-19 02:51:02.79096+00,26/27
a3237793-0fa2-4410-9d0f-419fb63d9557,player,6e2ec124-6188-4f98-b38f-daf8772941f2,,Al Hilal,2026-08-19,,Transfer,0,2026-08-19 02:51:08.893255+00,26/27
bef78482-beca-471d-ad48-10eeee6e7a1b,player,84a345ea-f2c8-41ea-bf7c-4588914adf8d,,Al Hilal,2026-08-19,,Transfer,0,2026-08-19 02:51:16.72725+00,26/27
2c9ef501-80d5-4fcb-986e-4ee5a6468b09,player,4fbdf079-11c8-4f03-9f58-e1546a534a2d,,Al Hilal,2026-08-19,,Transfer,0,2026-08-19 02:51:24.230152+00,26/27
295e4a07-ff58-4f24-a910-26e751adb1a0,player,8b69fa18-792e-4b21-85c8-acc054088396,,Al Hilal,2026-08-19,,Transfer,0,2026-08-19 02:51:33.518719+00,26/27
2622e11a-e962-44fb-82d0-d007466117ba,player,edde0746-956c-4f50-9073-93bded800feb,,Al Hilal,2026-08-19,,Transfer,0,2026-08-19 02:51:41.786643+00,26/27
dab43195-5795-4c3f-bdbf-3fecd0d0d927,player,6921f14c-74fe-417c-a5c9-6519fec3b3a8,,Al Ittihad,2026-08-19,,Transfer,0,2026-08-19 02:52:02.168253+00,26/27
09dca636-1b0b-44f1-9ba2-c31cd17d2e96,player,0493a4bc-1ae1-4af5-88f2-ca3c50372c7c,Saudi Arabia,Al Ittihad,2026-08-19,,Transfer,0,2026-08-19 02:52:14.974396+00,26/27
a4026e0d-5a33-46bb-80d6-af596b1dbfe7,player,45d5ec5d-6ca9-4422-a7fd-09bdb802c259,Saudi Arabia,Al Qadsiah,2026-08-19,,Transfer,0,2026-08-19 02:52:31.278621+00,26/27
260fe2e3-9dbb-4c3d-9bd7-ca422d07c8bb,player,6e4d079f-2ede-47f6-9e1c-9921d8ae565a,Saudi Arabia,Al Qadsiah,2026-08-19,,Transfer,0,2026-08-19 02:52:38.317768+00,26/27
342ce3e6-5459-46ae-9b86-8a2dc3ba5cd0,player,a43eca23-1839-4d2f-9216-2b9969ec2415,,Al Qadsiah,2026-08-19,,Transfer,0,2026-08-19 02:52:53.676578+00,26/27
25c1e0da-004e-4cf5-90e1-5e67ef51ec9a,player,c70bef9b-9bff-4ead-81e9-13a14ef691c9,,Al Ettifaq,2026-08-19,,Transfer,0,2026-08-19 02:53:22.947903+00,26/27
432d9a9c-b0b3-4816-98f3-061043e8f44b,player,ff4dbe73-7398-427b-840b-34797f52b967,,Al Qadsiah,2026-08-19,,Transfer,0,2026-08-19 02:53:54.167271+00,26/27
dfe71a9b-d9d3-4de2-8801-5dcd76917c7d,player,8676d0b2-2633-4d48-baae-a9e370366845,,NEOM Sports Club,2026-08-19,,Transfer,0,2026-08-19 02:54:06.463251+00,26/27
08638f0c-e207-455c-b555-15d0853a6c7a,player,8298195f-3ebf-4178-af50-293c46788166,,RC Lens,2026-08-19,,Transfer,0,2026-08-19 02:54:18.79862+00,26/27
