id,competition_id,group_label,team_id,played,won,drawn,lost,gf,ga,points,points_adjust,sort_order,qualification_label,qualification_color,updated_at,season
d146291a-878e-4df2-bd8c-e657b0073b35,da2223d7-561d-4767-836a-ea3e4ace8760,Group A,e06e9326-d05d-49f5-870e-8904723d885d,0,0,0,0,0,0,0,0,20,,,2026-08-19 23:06:13.461184+00,2027
d5f6e8d6-0f33-44f1-89ff-b012ecf6dffe,da2223d7-561d-4767-836a-ea3e4ace8760,Group A,6525d35a-4fa8-4532-b127-886269435c7a,0,0,0,0,0,0,0,0,21,,,2026-08-19 23:06:13.461184+00,2027
dc7bae7a-8ef5-4923-b9ae-6d0fb9f14b64,da2223d7-561d-4767-836a-ea3e4ace8760,Group A,bff23f77-8621-4e2d-b9c2-cb62a0444bb4,0,0,0,0,0,0,0,0,22,,,2026-08-19 23:06:13.461184+00,2027
250f0db3-1aac-4bff-ba02-da3a0a08bf88,da2223d7-561d-4767-836a-ea3e4ace8760,Group A,30d428e9-3d5a-4ce6-8908-b227f9cf119c,0,0,0,0,0,0,0,0,23,,,2026-08-19 23:06:13.461184+00,2027
77fc7518-a7bf-4867-874a-16a688230479,792f150e-1c25-4f3c-878f-75536c7edd5b,,a7166bc6-b129-47bb-bc4e-e085b1a2dfcd,0,0,0,0,0,0,0,0,3,,,2026-08-20 21:04:07.752815+00,2026/2027
3d7b9578-800a-45db-bbb9-312018cc56ea,792f150e-1c25-4f3c-878f-75536c7edd5b,,91915327-7b03-4ccf-b968-52a1dae28a9f,0,0,0,0,0,0,0,0,4,,,2026-08-20 21:04:07.752815+00,2026/2027
e5584de9-d517-4909-9c88-bfb68bda50e7,792f150e-1c25-4f3c-878f-75536c7edd5b,,bc2e4358-851e-4dc2-a8aa-ee755c6dd447,0,0,0,0,0,0,0,0,5,,,2026-08-20 21:04:07.752815+00,2026/2027
8d9e45d9-0304-4545-bb71-c218bcc2be2c,792f150e-1c25-4f3c-878f-75536c7edd5b,,666d9085-19bc-476a-a70a-e778d088eb23,0,0,0,0,0,0,0,0,6,,,2026-08-20 21:04:07.752815+00,2026/2027
76ebdc2a-39f8-4066-a08a-3e3b7be41283,792f150e-1c25-4f3c-878f-75536c7edd5b,,539cc6fb-d79a-449b-be23-1271355bd727,0,0,0,0,0,0,0,0,7,,,2026-08-20 21:04:07.752815+00,2026/2027
1de26408-c72f-4693-9ea3-7ea1e2843d0d,792f150e-1c25-4f3c-878f-75536c7edd5b,,4f941a6e-7ce2-416e-b293-7f010c901415,0,0,0,0,0,0,0,0,8,,,2026-08-20 21:04:07.752815+00,2026/2027
857cde75-fbce-4993-9a8f-9faa59a3a94d,792f150e-1c25-4f3c-878f-75536c7edd5b,,8d6cb3fe-6e3d-4cdc-af60-ea9de938d174,0,0,0,0,0,0,0,0,9,,,2026-08-20 21:04:07.752815+00,2026/2027
f409ba05-4c25-4b8d-bf99-f03beef5310a,792f150e-1c25-4f3c-878f-75536c7edd5b,,073cfa17-037f-4b8b-a79a-aeb5dbee9a40,0,0,0,0,0,0,0,0,10,,,2026-08-20 21:04:07.752815+00,2026/2027
36cb5700-2d65-47d8-b748-449f632a4a76,792f150e-1c25-4f3c-878f-75536c7edd5b,,598d82e7-8002-4423-9468-d58ec371907c,0,0,0,0,0,0,0,0,11,,,2026-08-20 21:04:07.752815+00,2026/2027
10520f17-6989-4e01-9f13-012be06fdded,792f150e-1c25-4f3c-878f-75536c7edd5b,,2986f4c3-8906-483b-b021-dae5ddf46c2a,0,0,0,0,0,0,0,0,12,,,2026-08-20 21:04:07.752815+00,2026/2027
