id,competition_id,group_label,position,label,color,created_at,updated_at,season
c7743ded-7885-431c-9fe4-2adfac8abf63,792f150e-1c25-4f3c-878f-75536c7edd5b,,1,AFC Champions League TWO,#2563eb,2026-07-31 15:09:12.226838+00,2026-08-11 23:41:46.836938+00,2026/2027
a68e2c9e-7a6f-480d-bfb4-6bedf04e8d2a,792f150e-1c25-4f3c-878f-75536c7edd5b,,2,AFC Champions League TWO Qualification,#2f9d64,2026-07-31 15:09:42.568294+00,2026-08-11 23:41:46.836938+00,2026/2027
0314b416-ff4b-407e-ad2d-ca1ba1bda768,792f150e-1c25-4f3c-878f-75536c7edd5b,,11,Relegation,#d53007,2026-07-31 15:10:03.965695+00,2026-08-11 23:41:46.836938+00,2026/2027
7ebe6913-2881-4009-bcc9-de6e76148e44,792f150e-1c25-4f3c-878f-75536c7edd5b,,12,Relegation,#d53007,2026-07-31 15:10:07.651023+00,2026-08-11 23:41:46.836938+00,2026/2027
