id,display_name,avatar_url,language,theme,notification_preferences,favorite_team_ids,favorite_player_ids,favorite_competition_ids,created_at,updated_at,height_unit,currency,favorite_match_ids,match_notification_ids
23c4092b-7eea-4ad6-966b-3022617fa11e,Roblox Duos,https://lh3.googleusercontent.com/a/ACg8ocJ-GMx16O0oFfWAGuUu0CiWux50daqPzCpiI7WbzHJeO9Wqm8c=s96-c,en,light,"{""goals"": true, ""match_end"": false, ""match_start"": true, ""favorite_news"": true}",{},{},{},2026-07-28 22:24:18.796603+00,2026-08-18 17:00:27.496559+00,cm,EUR,{},{}
787b15bb-9530-4927-93ef-b02d75f74f70,MA scores,787b15bb-9530-4927-93ef-b02d75f74f70/avatar-1784634040716.jpeg,en,dark,"{""goals"": true, ""match_end"": false, ""match_start"": true, ""favorite_news"": true}",{},{},{},2026-07-21 11:39:46.278163+00,2026-07-21 11:40:59.126254+00,cm,EUR,{},{}
9acd1b46-b45a-4288-a64d-251ebdb3e86e,Out Of Universes,https://lh3.googleusercontent.com/a/ACg8ocKlZy1IeDQ2wa4WCCq943hf1D7HevJbezb6NSkMRn9Fvv_-uQ=s96-c,en,dark,"{""news"": false, ""goals"": true, ""match_start"": true, ""final_result"": true}",{},{},{},2026-08-03 08:40:47.796332+00,2026-08-03 08:40:47.796332+00,cm,EUR,{},{}
2bb3401c-4ae9-4a1d-a434-55502f84b3f8,Mansour Almail,https://lh3.googleusercontent.com/a/ACg8ocL308rUujQE5w1wLFio1rYOs4HVX14f-mGR1yIFW6YE_tuZ5Bs=s96-c,en,light,"{""news"": false, ""goals"": true, ""match_start"": true, ""final_result"": true}",{539cc6fb-d79a-449b-be23-1271355bd727},{f906e87d-5490-46bd-aa6c-9c926848c91f},{},2026-07-29 01:55:18.986219+00,2026-08-12 01:05:17.693706+00,cm,EUR,{},{2b828e35-3056-4bf1-b876-324a9b49140f}
c603e21e-ed68-4b4f-a673-719603e12eb9,Hadiboh ,,en,dark,"{""news"": false, ""goals"": true, ""match_start"": true, ""final_result"": true}",{},{},{},2026-08-11 20:04:07.057941+00,2026-08-14 01:52:46.422496+00,cm,EUR,{6bbf91b3-c836-4602-958f-cc2a20059486},{6bbf91b3-c836-4602-958f-cc2a20059486}
